iata,year,passengers,seats,flights
BOS,2022,20208899,24382042,176681
BOS,2023,21037464,25137885,182159
BOS,2024,21900000,25917160,187806
PVD,2022,1911235,2324773,18162
PVD,2023,2041199,2424739,18943
PVD,2024,2180000,2529002,19758
BDL,2022,2873397,3468190,26475
BDL,2023,3022814,3599981,27481
BDL,2024,3180000,3736780,28525
MHT,2022,821011,992960,7881
MHT,2023,859599,1032679,8196
MHT,2024,900000,1073986,8524
PWM,2022,1004362,1217332,10061
PWM,2023,1060606,1267242,10473
PWM,2024,1120000,1319199,10902
BTV,2022,708833,859110,7955
BTV,2023,743565,896910,8305
BTV,2024,780000,936375,8670
JFK,2022,30129193,36531229,217448
JFK,2023,31243973,37627166,223971
JFK,2024,32400000,38755981,230690
EWR,2022,23053372,27697720,182222
EWR,2023,23814134,28279373,186049
EWR,2024,24600000,28873239,189956
LGA,2022,15866405,18915854,146635
LGA,2023,16326531,19369835,150154
LGA,2024,16800000,19834711,153757
PHL,2022,14344395,17256805,139168
PHL,2023,14717349,17739995,143064
PHL,2024,15100000,18236715,147070
BWI,2022,12606295,15106641,109468
BWI,2023,12997090,15514521,112424
BWI,2024,13400000,15933413,115460
DCA,2022,11784997,14203691,116424
DCA,2023,12185687,14459358,118519
DCA,2024,12600000,14719626,120653
IAD,2022,11524401,14278927,90373
IAD,2023,12192817,14978595,94801
IAD,2024,12900000,15712546,99446
ALB,2022,1258850,1516260,13538
ALB,2023,1289062,1555683,13890
ALB,2024,1320000,1596131,14251
BUF,2022,2215953,2656193,22510
BUF,2023,2262488,2717286,23028
BUF,2024,2310000,2779783,23557
PIT,2022,4304498,5216455,43111
PIT,2023,4459459,5414680,44749
PIT,2024,4620000,5620438,46450
ATL,2022,49962906,59170392,405277
ATL,2023,51361868,60590482,415003
ATL,2024,52800000,62044653,424963
CLT,2022,23849228,28456101,233247
CLT,2023,24612403,29281328,240011
CLT,2024,25400000,30130486,246971
MCO,2022,25584902,30585321,201219
MCO,2023,26812977,31686393,208463
MCO,2024,28100000,32827103,215968
MIA,2022,23629299,28585553,184423
MIA,2023,24928910,29757561,191984
MIA,2024,26300000,30977621,199856
FLL,2022,15811018,18895862,126818
FLL,2023,16490892,19462738,130622
FLL,2024,17200000,20046620,134541
TPA,2022,11442482,13646066,96781
TPA,2023,11911623,14150970,100361
TPA,2024,12400000,14674556,104075
RDU,2022,6295197,7705021,61151
RDU,2023,6685499,8074862,64086
RDU,2024,7100000,8462455,67162
BNA,2022,9851435,11998236,90212
BNA,2023,10550887,12622144,94903
BNA,2024,11300000,13278496,99838
