iata,name,country,latitude,longitude
ABQ,Albuquerque International Sunport,US,35.0402,-106.6091
ACK,Nantucket Memorial,US,41.2531,-70.0603
ADQ,Kodiak Airport,US,57.7500,-152.4939
AKL,Auckland Airport,NZ,-37.0082,174.7850
ALB,Albany International,US,42.7483,-73.8017
AMS,Amsterdam Schiphol,NL,52.3105,4.7683
ANC,Ted Stevens Anchorage International,US,61.1743,-149.9962
ATH,Athens International,GR,37.9364,23.9445
ATL,Hartsfield-Jackson Atlanta International,US,33.6407,-84.4277
AUS,Austin-Bergstrom International,US,30.1975,-97.6664
BCN,Barcelona El Prat,ES,41.2974,2.0833
BDL,Bradley International,US,41.9389,-72.6832
BET,Bethel Airport,US,60.7798,-161.8380
BNA,Nashville International,US,36.1263,-86.6774
BOG,El Dorado International,CO,4.7016,-74.1469
BOI,Boise Air Terminal,US,43.5644,-116.2228
BOM,Chhatrapati Shivaji Maharaj,IN,19.0896,72.8656
BOS,Boston Logan International,US,42.3656,-71.0096
BRW,Wiley Post-Will Rogers Memorial,US,71.2854,-156.7660
BTV,Burlington International,US,44.4720,-73.1533
BUF,Buffalo Niagara International,US,42.9405,-78.7322
BUR,Hollywood Burbank,US,34.2007,-118.3587
BWI,Baltimore/Washington International,US,39.1754,-76.6683
CDG,Paris Charles de Gaulle,FR,49.0097,2.5479
CDV,Merle K. Mudhole Smith,US,60.4917,-145.4776
CLE,Cleveland Hopkins International,US,41.4117,-81.8498
CLT,Charlotte Douglas International,US,35.2144,-80.9473
CUN,Cancun International,MX,21.0365,-86.8771
CVG,Cincinnati/Northern Kentucky International,US,39.0489,-84.6678
DAL,Dallas Love Field,US,32.8471,-96.8518
DCA,Ronald Reagan Washington National,US,38.8512,-77.0402
DEL,Indira Gandhi International,IN,28.5562,77.1000
DEN,Denver International,US,39.8561,-104.6737
DFW,Dallas/Fort Worth International,US,32.8998,-97.0403
DLG,Dillingham Airport,US,58.9967,-158.5033
DOH,Hamad International,QA,25.2731,51.6141
DTW,Detroit Metropolitan Wayne County,US,42.2162,-83.3554
DUB,Dublin Airport,IE,53.4213,-6.2701
DXB,Dubai International,AE,25.2532,55.3657
EWR,Newark Liberty International,US,40.6895,-74.1745
EZE,Buenos Aires Ezeiza,AR,-34.8222,-58.5358
FAI,Fairbanks International,US,64.8151,-147.8560
FCO,Rome Fiumicino,IT,41.8003,12.2389
FLL,Fort Lauderdale-Hollywood International,US,26.0742,-80.1506
FRA,Frankfurt am Main,DE,50.0379,8.5622
GDL,Guadalajara International,MX,20.5218,-103.3111
GRU,Sao Paulo Guarulhos,BR,-23.4356,-46.4731
GUM,Antonio B. Won Pat International,US,13.4839,144.7960
HKG,Hong Kong International,HK,22.3080,113.9185
HND,Tokyo Haneda,JP,35.5494,139.7798
