origin,destination,distance_miles,departures_performed,seats,passengers
BOS,LGA,184.3,47392,6016906,5084286
BOS,DCA,398.6,26292,3338088,2820684
BOS,ORD,864.3,18627,2364940,1998374
BOS,BWI,369.0,14587,1851920,1564872
BOS,PHL,279.6,12067,1531965,1294510
BOS,ATL,945.1,10334,1312033,1108668
BOS,MCO,1122.0,9065,1150906,972516
BOS,FLL,1239.0,8092,1027417,868167
BOS,DEN,1749.5,7322,929538,785460
BOS,LAX,2605.3,3682,787553,665482
BOS,SFO,2697.4,3395,726267,613695
BOS,SEA,2488.6,5733,727896,615072
BOS,LHR,3256.2,2946,630127,532457
BOS,DUB,2984.5,2766,591658,499951
BOS,CDG,3439.0,2609,557959,471475
BOS,AMS,3447.2,2469,528175,446308
BOS,FRA,3659.1,2345,501647,423892
BOS,MAD,3401.8,2234,477857,403789
BOS,LIS,3184.4,2134,456393,385652
BOS,PUJ,1651.6,3714,471517,398432
PVD,MCO,1073.3,5714,672897,580038
PVD,FLL,1189.8,3170,373313,321796
PVD,BWI,326.9,2246,264482,227983
PVD,ATL,902.2,1759,207108,178528
PVD,CLT,682.9,1455,171326,147683
PVD,PHL,237.0,1246,146730,126482
PVD,DTW,613.1,1093,128711,110949
PVD,TPA,1137.4,976,114901,99044
PVD,RSW,1202.0,883,103954,89609
PVD,DEN,1733.1,807,95049,81932
PVD,DUB,3028.8,409,81222,70013
BDL,MCO,1051.4,8115,978015,832291
BDL,ATL,858.7,4502,542588,461742
BDL,BWI,283.2,3190,384408,327131
BDL,CLT,643.7,2498,301019,256168
BDL,ORD,781.2,2066,249012,211910
BDL,DTW,547.3,1770,213264,181487
BDL,PHL,195.6,1552,187073,159200
BDL,FLL,1175.4,1386,167001,142118
BDL,DEN,1667.2,1254,151091,128579
BDL,LAX,2521.2,630,128012,108939
BDL,DUB,3070.0,581,118051,100461
BDL,CUN,1663.6,982,118315,100686
MHT,MCO,1143.0,2758,319729,267933
MHT,BWI,376.3,1530,177381,148645
MHT,ATL,951.1,1084,125669,105311
MHT,CLT,737.1,849,98408,82466
MHT,ORD,841.0,702,81406,68218
MHT,PHL,289.1,601,69719,58425
MHT,FLL,1264.3,528,61157,51250
MHT,DEN,1724.5,471,54595,45751
PWM,MCO,1215.1,3360,374032,317553
PWM,BWI,451.4,1864,207507,176174
PWM,ATL,1026.1,1321,147013,124814
PWM,CLT,812.1,1034,115122,97739
PWM,PHL,364.1,855,95232,80852
PWM,LGA,269.4,733,81561,69245
PWM,DTW,666.6,643,71544,60741
PWM,ORD,897.7,574,63868,54224
PWM,DEN,1777.7,519,57783,49058
BTV,ORD,761.5,2806,278762,232209
BTV,CLT,760.8,1556,154653,128826
BTV,PHL,335.3,1103,109567,91270
BTV,DCA,437.0,864,85799,71471
BTV,ATL,960.3,714,70976,59123
BTV,LGA,257.9,612,60786,50635
BTV,DTW,535.4,537,53321,44417
BTV,MCO,1195.9,479,47600,39651
JFK,LAX,2469.5,61222,9462453,7910611
JFK,SFO,2580.0,18681,4864462,4066690
JFK,MCO,945.3,24063,3719210,3109259
JFK,FLL,1070.8,18843,2912412,2434776
JFK,MIA,1091.7,15588,2409235,2014121
JFK,BOS,186.3,13350,2063361,1724970
JFK,ATL,759.3,11710,1809966,1513132
